Transaction_ID,Date,Region,City,Sales_Channel,Product_Category,Product_Name,Units_Sold,Selling_Price,Unit_Cost,Revenue,Cost,Profit,Customer_Type
TXN-0070,2024-01-18,Sulawesi,Makassar,General Trade,Nugget,Fiesta Crispy Nugget 400g,20,41500,34500,830000,690000,140000,Wholesale
TXN-0071,2024-01-18,Central Java,Magelang,General Trade,Cheese,Prochiz Gold Slices 150g,38,25000,18000,950000,684000,266000,Retail
TXN-0072,2024-01-19,West Java,Cimahi,Distributor,Yoghurt,Cimory Yoghurt Drink 250ml,133,10500,8500,1396500,1130500,266000,Wholesale
TXN-0073,2024-01-19,Sumatera,Padang,Modern Trade,Nugget,Champ Chicken Nugget 250g,53,25500,21000,1351500,1113000,238500,Retail
TXN-0074,2024-01-19,Bali,Singaraja,General Trade,Nugget,Contadina Crispy Nugget 250g,37,25000,21500,925000,795500,129500,Retail
TXN-0075,2024-01-20,East Java,Malang,Distributor,Milk,Chocolate 1L,125,21500,19000,2687500,2375000,312500,Institution
TXN-0076,2024-01-20,East Java,Surabaya,General Trade,Yoghurt,Cimory Yoghurt Drink 250ml,16,11000,9000,176000,144000,32000,Retail
TXN-0077,2024-01-20,Banten,Cilegon,General Trade,Cheese,Kraft Cheddar Cheese 165g,22,29500,23000,649000,506000,143000,Retail
TXN-0078,2024-01-20,Central Java,Tegal,General Trade,Yoghurt,Cimory Mini Yoghurt 60ml,15,7500,6500,112500,97500,15000,Wholesale
TXN-0079,2024-01-20,East Java,Blitar,General Trade,Cheese,Prochiz Gold Slices 150g,27,27000,19000,729000,513000,216000,Retail
TXN-0080,2024-01-21,Jakarta,Jakarta Utara,Modern Trade,Milk,Premium Whole Milk 1L,43,23000,20500,989000,881500,107500,Retail
TXN-0081,2024-01-21,Central Java,Solo,General Trade,Milk,Chocolate 1L,29,20000,17000,580000,493000,87000,Wholesale
TXN-0082,2024-01-21,Sumatera,Pekanbaru,Modern Trade,Milk,Cimory Chocolate 200ml,28,4500,4000,126000,112000,14000,HoReCa
TXN-0083,2024-01-21,Jakarta,Jakarta Selatan,General Trade,Sausage,Farmhouse Sausage 250g,17,21000,17000,357000,289000,68000,Retail
TXN-0084,2024-01-23,East Java,Surabaya,Modern Trade,Nugget,Belfoods Royal Nugget 500g,41,38500,33500,1578500,1373500,205000,Retail
TXN-0085,2024-01-23,Yogyakarta,Sleman,Modern Trade,Cheese,Laughing Cow Creamy 8pcs,19,19000,13500,361000,256500,104500,Retail
TXN-0086,2024-01-23,Banten,Serang,Distributor,Yoghurt,Cimory Yoghurt Drink 250ml,147,12500,10500,1837500,1543500,294000,Wholesale
TXN-0087,2024-01-23,Jakarta,Jakarta Pusat,General Trade,Sausage,Kimbo Beef Sausage 375g,14,36500,29500,511000,413000,98000,Wholesale
TXN-0088,2024-01-23,Central Java,Solo,General Trade,Milk,Cimory Chocolate 200ml,24,5500,5000,132000,120000,12000,Retail
TXN-0089,2024-01-24,East Java,Kediri,General Trade,Yoghurt,Cimory Plain Yoghurt 400g,36,23000,18500,828000,666000,162000,Retail
TXN-0090,2024-01-25,Yogyakarta,Sleman,General Trade,Cheese,Kiri Cream Cheese 80g,37,25000,17500,925000,647500,277500,Retail
TXN-0091,2024-01-25,Central Java,Pekalongan,General Trade,Sausage,Kimbo Beef Sausage 375g,24,36000,28500,864000,684000,180000,Retail
TXN-0092,2024-01-25,Jakarta,Jakarta Utara,General Trade,Yoghurt,Cimory Yoghurt 500g,23,29000,24500,667000,563500,103500,Retail
TXN-0093,2024-01-26,Central Java,Semarang,Modern Trade,Sausage,So Good Chicken Sausage 375g,14,40500,31500,567000,441000,126000,Retail
TXN-0094,2024-01-26,Sumatera,Banda Aceh,Modern Trade,Sausage,So Good Chicken Sausage 375g,65,35500,27500,2307500,1787500,520000,Retail
TXN-0095,2024-01-26,Banten,South Tangerang,Distributor,Yoghurt,Cimory Yoghurt Strawberry 100g,62,9500,8000,589000,496000,93000,Wholesale
TXN-0096,2024-01-27,Jakarta,Jakarta Barat,Modern Trade,Nugget,Belfoods Royal Nugget 500g,39,47500,40000,1852500,1560000,292500,Retail
TXN-0097,2024-01-27,East Java,Jember,Distributor,Sausage,So Good Chicken Sausage 375g,125,30000,23000,3750000,2875000,875000,Wholesale
TXN-0098,2024-01-28,Jakarta,Jakarta Timur,Distributor,Cheese,Kraft Cheddar Cheese 165g,140,33500,26000,4690000,3640000,1050000,HoReCa
TXN-0099,2024-01-28,Jakarta,Jakarta Barat,Modern Trade,Nugget,So Good Chicken Nugget 500g,22,50000,43500,1100000,957000,143000,Retail
TXN-0100,2024-01-28,Jakarta,Jakarta Pusat,Modern Trade,Sausage,Vida Beef Sausage 200g,50,17000,13000,850000,650000,200000,Retail
TXN-0101,2024-01-29,Kalimantan,Pontianak,General Trade,Milk,Chocolate 1L,16,21000,18000,336000,288000,48000,Retail
TXN-0102,2024-01-29,East Java,Blitar,General Trade,Nugget,Fiesta Crispy Nugget 400g,36,44500,38500,1602000,1386000,216000,Retail
TXN-0103,2024-01-29,Kalimantan,Pontianak,Distributor,Milk,Chocolate 1L,219,18500,16000,4051500,3504000,547500,Wholesale
TXN-0104,2024-01-29,West Java,Cimahi,General Trade,Yoghurt,Cimory Plain Yoghurt 400g,41,23500,19500,963500,799500,164000,Wholesale
TXN-0105,2024-01-30,Sulawesi,Manado,General Trade,Milk,Chocolate 1L,34,21000,19000,714000,646000,68000,Wholesale
TXN-0106,2024-01-30,Sumatera,Padang,Distributor,Sausage,Farmhouse Sausage 250g,213,26500,21500,5644500,4579500,1065000,Wholesale
TXN-0107,2024-01-30,Sulawesi,Kendari,Distributor,Nugget,So Good Chicken Nugget 500g,124,47500,40500,5890000,5022000,868000,Institution
TXN-0108,2024-01-31,Jakarta,Jakarta Selatan,Modern Trade,Sausage,Kimbo Beef Sausage 375g,35,29500,23000,1032500,805000,227500,Retail
TXN-0109,2024-01-31,East Java,Blitar,General Trade,Yoghurt,Cimory Yoghurt Drink 250ml,39,12000,9500,468000,370500,97500,Retail
TXN-0110,2024-01-31,West Java,Tasikmalaya,General Trade,Milk,Premium Whole Milk 1L,43,23500,21000,1010500,903000,107500,Wholesale
TXN-0111,2024-02-01,Yogyakarta,Yogyakarta,General Trade,Sausage,Vida Beef Sausage 200g,33,23000,19000,759000,627000,132000,Retail
TXN-0112,2024-02-01,East Java,Malang,Modern Trade,Yoghurt,Cimory Yoghurt Strawberry 100g,21,10500,9000,220500,189000,31500,Retail
TXN-0113,2024-02-01,East Java,Malang,General Trade,Cheese,Prochiz Gold Slices 150g,22,26000,19000,572000,418000,154000,Wholesale
TXN-0114,2024-02-01,Kalimantan,Samarinda,Distributor,Sausage,Bernardi Beef Sausage 500g,97,47500,37500,4607500,3637500,970000,Institution
TXN-0115,2024-02-02,Banten,South Tangerang,General Trade,Yoghurt,Cimory Plain Yoghurt 400g,35,20000,16000,700000,560000,140000,Retail
TXN-0116,2024-02-02,East Java,Kediri,General Trade,Nugget,Champ Chicken Nugget 250g,29,22500,18500,652500,536500,116000,Retail
TXN-0117,2024-02-02,Jakarta,Jakarta Pusat,Distributor,Sausage,Vida Beef Sausage 200g,168,22500,17000,3780000,2856000,924000,Wholesale
TXN-0118,2024-02-02,Sumatera,Palembang,General Trade,Cheese,Kiri Cream Cheese 80g,29,25500,18500,739500,536500,203000,Wholesale
TXN-0119,2024-02-02,Banten,Tangerang,Modern Trade,Yoghurt,Cimory Mini Yoghurt 60ml,17,6500,5500,110500,93500,17000,Retail
TXN-0120,2024-02-03,Bali,Kuta,Modern Trade,Sausage,Kimbo Beef Sausage 375g,39,36000,28500,1404000,1111500,292500,Retail
TXN-0121,2024-02-03,Central Java,Tegal,Distributor,Milk,Cimory Chocolate 200ml,117,6000,5000,702000,585000,117000,Wholesale
TXN-0122,2024-02-03,Bali,Kuta,Distributor,Sausage,So Good Chicken Sausage 375g,172,42000,31500,7224000,5418000,1806000,Wholesale
TXN-0123,2024-02-03,Sumatera,Medan,Modern Trade,Milk,Premium Whole Milk 1L,26,24000,20500,624000,533000,91000,Retail
TXN-0124,2024-02-04,Banten,Cilegon,Modern Trade,Milk,Cimory Milk Vanilla 200ml,42,4000,3500,168000,147000,21000,HoReCa
TXN-0125,2024-02-04,Central Java,Semarang,General Trade,Yoghurt,Cimory Yoghurt Drink 250ml,10,12000,10000,120000,100000,20000,Retail
TXN-0126,2024-02-04,West Java,Depok,Modern Trade,Milk,Cimory Full Cream 1L,32,22000,19500,704000,624000,80000,HoReCa
TXN-0127,2024-02-05,Yogyakarta,Wonosari,General Trade,Sausage,So Good Chicken Sausage 375g,35,40500,31500,1417500,1102500,315000,Retail
TXN-0128,2024-02-05,Kalimantan,Pontianak,Modern Trade,Yoghurt,Cimory Mini Yoghurt 60ml,57,6500,5000,370500,285000,85500,Retail
TXN-0129,2024-02-05,Yogyakarta,Bantul,Modern Trade,Milk,Chocolate 1L,56,22000,19000,1232000,1064000,168000,Retail
TXN-0130,2024-02-05,Central Java,Magelang,Distributor,Milk,Cimory Chocolate 200ml,170,5000,4500,850000,765000,85000,Wholesale
TXN-0131,2024-02-05,Sumatera,Banda Aceh,Modern Trade,Milk,Cimory Full Cream 1L,20,24000,21000,480000,420000,60000,HoReCa
TXN-0132,2024-02-05,West Java,Bekasi,Distributor,Cheese,Anchor Cheddar Block 500g,183,81000,64000,14823000,11712000,3111000,Wholesale
TXN-0133,2024-02-06,East Java,Malang,General Trade,Milk,Cimory Full Cream 1L,21,20500,18500,430500,388500,42000,Retail
TXN-0134,2024-02-06,West Java,Depok,Distributor,Cheese,Kiri Cream Cheese 80g,196,21000,15500,4116000,3038000,1078000,Wholesale
TXN-0135,2024-02-06,Sumatera,Banda Aceh,Modern Trade,Cheese,Laughing Cow Creamy 8pcs,57,17000,12000,969000,684000,285000,Retail
TXN-0136,2024-02-06,West Java,Tasikmalaya,Distributor,Milk,Chocolate 1L,51,17500,15000,892500,765000,127500,Wholesale
TXN-0137,2024-02-06,Banten,Cilegon,General Trade,Cheese,Anchor Cheddar Block 500g,21,71000,53000,1491000,1113000,378000,Wholesale
TXN-0138,2024-02-07,West Java,Tasikmalaya,General Trade,Sausage,So Good Chicken Sausage 375g,22,38500,31000,847000,682000,165000,Retail
TXN-0139,2024-02-07,East Java,Jember,General Trade,Sausage,Vida Beef Sausage 200g,15,18500,15000,277500,225000,52500,Wholesale
TXN-0140,2024-02-07,Yogyakarta,Wonosari,Modern Trade,Sausage,Vida Beef Sausage 200g,51,16500,13500,841500,688500,153000,HoReCa
TXN-0141,2024-02-07,Jakarta,Jakarta Timur,Distributor,Cheese,Prochiz Gold Slices 150g,184,29500,22500,5428000,4140000,1288000,HoReCa
TXN-0142,2024-02-08,Jakarta,Jakarta Pusat,Distributor,Cheese,Laughing Cow Creamy 8pcs,75,19500,14500,1462500,1087500,375000,Institution
TXN-0143,2024-02-08,Central Java,Semarang,General Trade,Cheese,Prochiz Gold Slices 150g,14,25000,19500,350000,273000,77000,Retail
TXN-0144,2024-02-08,Jakarta,Jakarta Timur,General Trade,Cheese,Prochiz Gold Slices 150g,35,24000,17000,840000,595000,245000,Retail
TXN-0145,2024-02-09,Central Java,Pekalongan,Distributor,Yoghurt,Cimory Yoghurt Drink 250ml,148,9500,8000,1406000,1184000,222000,Wholesale
TXN-0146,2024-02-09,Bali,Denpasar,Modern Trade,Cheese,Kiri Cream Cheese 80g,20,23000,17500,460000,350000,110000,Retail
TXN-0147,2024-02-09,East Java,Blitar,General Trade,Nugget,So Good Chicken Nugget 500g,8,44000,36500,352000,292000,60000,Retail
TXN-0148,2024-02-09,Jakarta,Jakarta Barat,General Trade,Yoghurt,Cimory Yoghurt 500g,10,30500,25000,305000,250000,55000,Retail
TXN-0149,2024-02-10,East Java,Blitar,General Trade,Sausage,Kimbo Beef Sausage 375g,27,27500,22000,742500,594000,148500,Retail
TXN-0150,2024-02-10,East Java,Malang,Distributor,Sausage,Kimbo Beef Sausage 375g,122,30000,24500,3660000,2989000,671000,Wholesale
TXN-0151,2024-02-10,West Java,Cimahi,General Trade,Cheese,Kraft Cheddar Cheese 165g,9,34000,24500,306000,220500,85500,Wholesale
TXN-0152,2024-02-10,West Java,Bandung,General Trade,Milk,Cimory Chocolate 200ml,20,5000,4500,100000,90000,10000,Retail
TXN-0153,2024-02-11,East Java,Jember,Modern Trade,Yoghurt,Cimory Yoghurt Drink 250ml,56,12000,10000,672000,560000,112000,HoReCa
TXN-0154,2024-02-11,West Java,Bandung,Modern Trade,Cheese,Anchor Cheddar Block 500g,28,75500,57500,2114000,1610000,504000,Retail
TXN-0155,2024-02-11,East Java,Malang,Modern Trade,Cheese,Kraft Cheddar Cheese 165g,53,31500,24500,1669500,1298500,371000,Retail
TXN-0156,2024-02-11,Sulawesi,Manado,Modern Trade,Milk,Cimory Milk Vanilla 200ml,52,4500,4000,234000,208000,26000,Retail
TXN-0157,2024-02-11,Central Java,Tegal,General Trade,Cheese,Prochiz Gold Slices 150g,36,28500,21000,1026000,756000,270000,Retail
TXN-0158,2024-02-13,Sulawesi,Kendari,Distributor,Cheese,Anchor Cheddar Block 500g,113,68000,54000,7684000,6102000,1582000,Wholesale
TXN-0159,2024-02-13,East Java,Surabaya,General Trade,Milk,Cimory Chocolate 200ml,19,5500,5000,104500,95000,9500,Retail
TXN-0160,2024-02-13,Banten,Tangerang,General Trade,Cheese,Anchor Cheddar Block 500g,33,74500,55500,2458500,1831500,627000,Wholesale
TXN-0161,2024-02-14,Jakarta,Jakarta Timur,General Trade,Yoghurt,Cimory Mini Yoghurt 60ml,8,6500,5500,52000,44000,8000,Retail
TXN-0162,2024-02-14,Kalimantan,Pontianak,Distributor,Milk,Premium Whole Milk 1L,157,26000,23500,4082000,3689500,392500,HoReCa
TXN-0163,2024-02-14,Jakarta,Jakarta Timur,Modern Trade,Yoghurt,Cimory Yoghurt 500g,30,31000,25500,930000,765000,165000,Retail
TXN-0164,2024-02-15,Sumatera,Pekanbaru,Modern Trade,Milk,Premium Whole Milk 1L,50,26000,23000,1300000,1150000,150000,Retail
TXN-0165,2024-02-15,Kalimantan,Balikpapan,Modern Trade,Cheese,Laughing Cow Creamy 8pcs,63,18000,14000,1134000,882000,252000,Retail
TXN-0166,2024-02-15,East Java,Blitar,General Trade,Milk,Cimory Milk Vanilla 200ml,17,5000,4500,85000,76500,8500,Retail
TXN-0167,2024-02-15,Yogyakarta,Yogyakarta,General Trade,Yoghurt,Cimory Yoghurt Drink 250ml,12,10500,8500,126000,102000,24000,Retail
TXN-0168,2024-02-16,Kalimantan,Samarinda,Modern Trade,Nugget,Contadina Crispy Nugget 250g,54,20000,17000,1080000,918000,162000,Retail
TXN-0169,2024-02-16,Jakarta,Jakarta Timur,Modern Trade,Yoghurt,Cimory Yoghurt Drink 250ml,32,12000,10000,384000,320000,64000,Retail
TXN-0170,2024-02-16,Sumatera,Banda Aceh,Distributor,Milk,Cimory Full Cream 1L,151,21500,19000,3246500,2869000,377500,Wholesale
TXN-0171,2024-02-17,Jakarta,Jakarta Utara,Distributor,Sausage,Bernardi Beef Sausage 500g,199,48500,39000,9651500,7761000,1890500,Institution
TXN-0172,2024-02-17,Kalimantan,Balikpapan,General Trade,Nugget,Contadina Crispy Nugget 250g,16,27000,23000,432000,368000,64000,Retail
TXN-0173,2024-02-17,Jakarta,Jakarta Selatan,Distributor,Sausage,Vida Beef Sausage 200g,146,17000,13500,2482000,1971000,511000,HoReCa
TXN-0174,2024-02-17,Jakarta,Jakarta Pusat,General Trade,Cheese,Kiri Cream Cheese 80g,12,21000,16500,252000,198000,54000,Retail
TXN-0175,2024-02-18,Jakarta,Jakarta Barat,Modern Trade,Nugget,Champ Chicken Nugget 250g,61,27500,22500,1677500,1372500,305000,Retail
TXN-0176,2024-02-19,East Java,Kediri,Modern Trade,Nugget,Fiesta Crispy Nugget 400g,61,39000,34500,2379000,2104500,274500,HoReCa
TXN-0177,2024-02-19,Banten,Serang,Modern Trade,Milk,Chocolate 1L,19,21000,18000,399000,342000,57000,Retail
TXN-0178,2024-02-19,Jakarta,Jakarta Pusat,Distributor,Milk,Cimory Chocolate 200ml,195,5000,4500,975000,877500,97500,Institution
TXN-0179,2024-02-19,Jakarta,Jakarta Utara,Modern Trade,Milk,Chocolate 1L,45,18000,15500,810000,697500,112500,Retail
TXN-0180,2024-02-19,Sumatera,Padang,General Trade,Milk,Cimory Full Cream 1L,11,22000,19500,242000,214500,27500,Retail
TXN-0181,2024-02-20,Banten,Serang,General Trade,Milk,Cimory Chocolate 200ml,18,6000,5000,108000,90000,18000,Wholesale
TXN-0182,2024-02-20,Jakarta,Jakarta Timur,General Trade,Yoghurt,Cimory Yoghurt 500g,40,32500,26500,1300000,1060000,240000,Retail
TXN-0183,2024-02-20,West Java,Bandung,Modern Trade,Sausage,Farmhouse Sausage 250g,51,26500,20500,1351500,1045500,306000,Retail
TXN-0184,2024-02-20,West Java,Cimahi,Modern Trade,Cheese,Kiri Cream Cheese 80g,64,26500,19500,1696000,1248000,448000,Retail
TXN-0185,2024-02-21,Central Java,Solo,Modern Trade,Sausage,So Good Chicken Sausage 375g,14,35500,28500,497000,399000,98000,Retail
TXN-0186,2024-02-21,West Java,Bogor,General Trade,Nugget,Contadina Crispy Nugget 250g,32,23500,20500,752000,656000,96000,Retail
TXN-0187,2024-02-21,East Java,Surabaya,Distributor,Yoghurt,Cimory Yoghurt 500g,186,29000,24000,5394000,4464000,930000,Institution
